project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,species_class,method,rain,wind,noise,industry_noise,audio_issues,species_individual_name,transcriber,confidence,abundance,min0_voc,min0_start,min0_freq_range,min0_tag_duration,min1_voc,min1_start,min1_freq_range,min1_tag_duration,min2_voc,min2_start,min2_freq_range,min2_tag_duration,min3_voc,min3_start,min3_freq_range,min3_tag_duration,min4_voc,min4_start,min4_freq_range,min4_tag_duration,min5_voc,min5_start,min5_freq_range,min5_tag_duration,min6_voc,min6_start,min6_freq_range,min6_tag_duration,min7_voc,min7_start,min7_freq_range,min7_tag_duration,min8_voc,min8_start,min8_freq_range,min8_tag_duration,min9_voc,min9_start,min9_freq_range,min9_tag_duration,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation_mm,hourly_wind_direction,hourly_wind_speed,hourly_visibility_km,hourly_station_pressure,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,task_comment,species_comment,original_file_name,tagged_in_wildtrax
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,0,2.75kHz to 4.20kHz,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,0,4.72kHz to 9.71kHz,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,REVI,Vireo olivaceus,Red-eyed Vireo,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,0.8,2.01kHz to 3.78kHz,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Light,None,None,2,Maya Meron,Confident,1,Song,23.8,2.75kHz to 4.86kHz,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,COYE,Geothlypis trichas,Common Yellowthroat,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,28,2.94kHz to 5.51kHz,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,Light,None,None,2,Maya Meron,Confident,1,,,,,Song,10.5,4.62kHz to 9.29kHz,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,CEDW,Bombycilla cedrorum,Cedar Waxwing,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,,,,,Song,21.8,7.10kHz to 8.82kHz,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,CEDW,Bombycilla cedrorum,Cedar Waxwing,AVES,3m 1SPR,None,None,Light,None,None,2,Maya Meron,Confident,1,,,,,Song,26.8,6.16kHz to 7.94kHz,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,4:24:00,Active,55.328125,-105.045454,,LEYE,Tringa flavipes,Lesser Yellowlegs,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,,,,,,,,,Call,14.7,2.43kHz to 4.25kHz,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21.8,15.3,67,0,21,6,,97.13,26,,NA,,,,,05-324-01_20210701_042400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,MOBA, ,Moderate Background Noise,ABIOTIC,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Non-vocal,0.1,0.00kHz to 3.74kHz,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,5.6,4.53kHz to 9.67kHz,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,Light,None,None,2,Maya Meron,Confident,1,Song,7.5,4.53kHz to 10.04kHz,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,CORA,Corvus corax,Common Raven,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Call,21.3,0.19kHz to 2.05kHz,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,SWSP,Melospiza georgiana,Swamp Sparrow,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,37.2,2.57kHz to 6.86kHz,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,ALFL,Empidonax alnorum,Alder Flycatcher,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Call,43.1,2.05kHz to 5.14kHz,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,REVI,Vireo olivaceus,Red-eyed Vireo,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,Song,57.5,1.96kHz to 4.30kHz,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-01,5:54:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Light,None,None,1,Maya Meron,Confident,1,,,,,Song,5.4,2.94kHz to 5.28kHz,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,21.5,35.1,28.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,15.7,71,0,19,5,,97.15,25,,NA,,,,,05-324-01_20210701_055400.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Light,None,None,2,Robert Wapple,Confident,1,Call,0.5,5.60kHz to 9.20kHz,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Light,None,None,1,Robert Wapple,Confident,1,Song,8.8,1.96kHz to 4.30kHz,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,CAJA,Perisoreus canadensis,Canada Jay,AVES,3m 1SPR,None,None,Light,None,None,1,Robert Wapple,Confident,1,Call,11.3,0.89kHz to 2.66kHz,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,BHVI,Vireo solitarius,Blue-headed Vireo,AVES,3m 1SPR,None,None,Light,None,None,1,Robert Wapple,Confident,1,Song,41.5,1.87kHz to 7.24kHz,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,COYE,Geothlypis trichas,Common Yellowthroat,AVES,3m 1SPR,None,None,Light,None,None,1,Robert Wapple,Confident,1,Song,57.5,1.73kHz to 5.04kHz,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,CAJA,Perisoreus canadensis,Canada Jay,AVES,3m 1SPR,None,None,Light,None,None,2,Robert Wapple,Confident,1,,,,,Call,6.8,1.17kHz to 6.86kHz,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-07-03,7:56:00,Active,55.328125,-105.045454,,BCCH,Poecile atricapillus,Black-capped Chickadee,AVES,3m 1SPR,None,None,Light,None,None,1,Robert Wapple,Confident,1,,,,,,,,,Call,24.2,2.05kHz to 5.23kHz,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,20.4,28.9,24.7,0,0,0,,LA RONGE RCS,378.60m,24km,23.3,16.7,67,0,31,19,,95.66,28,,NA,,,Running water in background but is ok,,05-324-01_20210703_075600.wav,t
