project_id,location_name,recording_date,task_id,tag_id,ar_action,audit_date,audit_comment,,source_code,target_code,created_by,deleted_by,ar_unique_name,ar_new_unique_name,audit_vocalizationd,current_tag_vocalization,audit_abundance,current_species_abundance
587,13-UEV40-132,2021-07-01 05:34:00,308537,,UPDATE,40:02.8,Abundance Changed to:1,,REVI,REVI,,Steve Van Wilgenburg,1,,,,CI 3,
587,13-UEV40-132,2021-07-01 05:34:00,308537,,UPDATE,40:17.6,Abundance Changed to:1,,AMRE,AMRE,,Steve Van Wilgenburg,1,,,,CI 3,
587,13-UEV40-132,2021-07-01 05:34:00,308537,,UPDATE,40:26.5,Abundance Changed to:1,,WTSP,WTSP,,Steve Van Wilgenburg,1,,,,CI 3,
587,13-UEV40-132,2021-07-01 05:34:00,308537,,UPDATE,42:22.0,Abundance Changed to:1,,YEWA,YEWA,,Steve Van Wilgenburg,1,,,,CI 3,
2302,SD-612-480,2022-06-23 05:02:00,572471,,UPDATE,28:32.2,Abundance Changed to:1,,WEME,WEME,,Erica Alex,1,,,,2,
2326,SBCR-12-06,2022-05-29 04:54:00,484536,,UPDATE,53:55.0,Abundance Changed to:1,,COYO,COYO,,Erica Alex,1,,,,2,
2326,SBCR-12-07,2022-05-29 04:54:00,484537,,UPDATE,54:29.3,Abundance Changed to:1,,COYO,COYO,,Erica Alex,1,,,,2,
2326,SBCR-12-01,2022-06-01 06:22:00,484650,,UPDATE,56:19.3,Abundance Changed to:1,,COYO,COYO,,Erica Alex,1,,,,2,
2326,SBCR-15-03,2022-06-19 06:15:00,484783,,UPDATE,09:33.4,Abundance Changed to:1,,COYO,COYO,,Erica Alex,1,,,,2,
1100,SKBMS:05-1469:03,2022-06-20 03:20:00,342197,,UPDATE,52:59.9,Abundance Changed to:1,,CAJA,CAJA,,Sean Jenniskens,1,,,,CI 1,
2302,CRD-08,2023-06-01 06:00:00,749975,,UPDATE,18:59.1,Abundance Changed to:1,,WEME,WEME,,Constanza Rivas,1,,,,2,
1992,06-1213-01,2023-05-31 05:07:00,801398,,UPDATE,40:29.9,Abundance Changed to:1,,SACR,SACR,,Enid,1,,,,2,
1287,BRNWA-02-01,2023-05-28 06:45:00,809535,,UPDATE,58:23.1,Abundance Changed to:1,,BARS,BARS,,Erica Alex,1,,,,TMTT,
1389,MENWA-00-01,2023-06-26 01:14:00,804857,,UPDATE,51:32.9,Abundance Changed to:1,,COYO,COYO,,Aaron Roberge,1,,,,2,
1287,HSNWA-00-12,2023-06-20 04:41:00,809564,,UPDATE,42:28.1,Abundance Changed to:1,,CCSP,CCSP,,Erica Alex,2,,,,2,
1287,THNWA-00-14,2023-05-31 04:20:00,809607,,UPDATE,09:42.6,Abundance Changed to:1,,CANG,CANG,,Kelsey Bell,1,,,,2,
1287,WBNWA-02-01,2023-06-20 05:35:00,809644,,UPDATE,46:49.1,Abundance Changed to:1,,WILL,WILL,,Aaron Roberge,1,,,,2,
1389,MENWA-00-08,2023-06-26 01:14:00,804948,,UPDATE,48:43.3,Abundance Changed to:1,,DOGG,DOGG,,Meredith Stoesz,1,,,,2,
1389,STNWA-02-02,2023-05-30 01:52:00,947060,,UPDATE,09:46.5,Abundance Changed to:1,,AMAV,AMAV,,Enid,2,,,,2,
1287,STNWA-02-02,2023-05-30 06:43:00,947226,,UPDATE,00:45.3,Abundance Changed to:1,,AMCO,AMCO,,Julia Marshall,1,,,,3,
1287,SDNWA-00-14,2020-06-16 04:32:00,961966,,UPDATE,35:48.7,Abundance Changed to:1,,AMRO,AMRO,,Aaron Roberge,1,,,,2,
1389,LMNWA-02-24,2023-06-18 03:05:00,961277,,UPDATE,18:36.7,Abundance Changed to:1,,NSHO,NSHO,,Enid,1,,,,2,
1389,STNWA-02-02,2023-05-28 21:27:00,947059,,UPDATE,30:21.4,Abundance Changed to:1,,CANG,CANG,,Aaron Roberge,1,,,,TMTT,
2326,SBCR-07-16,2022-05-28 05:25:00,484554,,UPDATE,33:40.8,Abundance Changed to:1,,WEME,WEME,,Janine McManus,5,,,,CI 1,
1389,STNWA-02-01,2023-05-26 20:30:00,947051,,UPDATE,26:01.3,Abundance Changed to:1,,CANG,CANG,,Sean Jenniskens,2,,,,TMTT,
1287,WBNWA-02-02,2023-06-04 04:35:00,809645,,UPDATE,51:15.8,Abundance Changed to:1,,CANG,CANG,,Sean Jenniskens,2,,,,TMTT,
2772,511--355-3.1,2024-06-12 05:12:00,1173851,,UPDATE,32:37.4,Abundance Changed to:1,,PISI,PISI,,Megan Edgar,1,,,,2,
2743,WBNWA-02-03,2024-06-02 05:56:00,1369827,,UPDATE,40:33.4,Abundance Changed to:1,,COWW,COWW,,David Korver,1,,,,2,
2772,614--306-1-1,2023-06-02 07:52:00,1201586,,UPDATE,14:28.1,Abundance Changed to:1,,STGR,STGR,,Maya Meron,1,,,,3,
2913,SNAS-06-11,2024-06-23 07:14:00,1389860,,UPDATE,06:03.8,Abundance Changed to:1,,CCLO,CCLO,,Andy Nguyen,9,,,,2,
2913,SNAS-06-11,2024-06-23 07:14:00,1389860,,UPDATE,08:44.3,Abundance Changed to:1,,CCLO,CCLO,,Andy Nguyen,1,,,,2,
2744,THNWA-00-15,2024-06-06 23:15:00,1218546,,UPDATE,50:07.1,Abundance Changed to:1,,SORA,SORA,,Andy Nguyen,2,,,,2,
2913,SNAS-08-09,2024-06-06 06:45:00,1390050,,UPDATE,14:29.4,Abundance Changed to:1,,VESP,VESP,,Sean Jenniskens,5,,,,2,
2772,637--315-4-7,2023-06-18 06:09:00,1201100,,UPDATE,37:15.9,Abundance Changed to:1,,WTSP,WTSP,,Sachi Snively,1,,,,2,
2743,LMNWA-01-20,2024-06-15 06:33:00,1498522,,UPDATE,11:16.5,Abundance Changed to:1,,WILL,WILL,,Andy Nguyen,1,,,,2,
2743,HSNWA-00-05,2020-06-28 05:26:00,1532318,,UPDATE,08:51.3,Abundance Changed to:1,,WEME,WEME,,Andy Nguyen,2,,,,2,
2743,HSNWA-00-11,2020-06-28 05:45:00,1532346,,UPDATE,40:33.3,Abundance Changed to:1,,VESP,VESP,,Andy Nguyen,1,,,,2,
3001,586--276-3,2024-06-03 07:06:00,1645553,,UPDATE,51:06.6,Abundance Changed to:1,,CANG,CANG,,Enid,2,,,,TMTT,
2744,STNWA-02-01,2024-06-01 20:38:00,1503943,,UPDATE,58:32.8,Abundance Changed to:1,,WEME,WEME,,Andy Nguyen,2,,,,2,
2913,SNAS-12-05,2021-06-23 04:14:00,1523904,,UPDATE,54:31.4,Abundance Changed to:1,,HOLA,HOLA,,Aaron Roberge,1,,,,2,
2913,SNAS-07-03,2024-05-29 04:50:00,1390030,,UPDATE,48:56.7,Abundance Changed to:1,,HOLA,HOLA,,Aaron Roberge,4,,,,2,
3001,586--279-4,2024-06-13 08:30:00,1691339,,UPDATE,43:24.1,Abundance Changed to:1,,REVI,REVI,,Maya Meron,1,,,,2,
3001,13-UDV90-33,2024-06-03 05:37:00,1645707,,UPDATE,33:18.8,Abundance Changed to:1,,COLO,COLO,,Sachi Snively,1,,,,2,
2913,SNAS-07-08,2024-05-29 04:50:00,1390033,,UPDATE,21:12.7,Abundance Changed to:1,,HOLA,HOLA,,Andy Nguyen,1,,,,2,
1287,BQNWA-00-01,2022-06-01 04:30:00,523939,,UPDATE,40:06.4,Abundance Changed to:10,,CANG,CANG,,Robert Wapple,1,,,,2,
1287,SLNWA-00-04,2022-05-31 05:16:00,523944,,UPDATE,24:19.4,Abundance Changed to:10,,CANG,CANG,,Robert Wapple,2,,,,TMTT,
1287,BRNWA-01-02,2021-06-16 04:34:00,523950,,UPDATE,32:53.2,Abundance Changed to:10,,RWBL,RWBL,,Robert Wapple,1,,,,TMTT,
1287,SLNWA-00-01,2022-05-31 05:16:00,523941,,UPDATE,04:09.5,Abundance Changed to:10,,CANG,CANG,,Robert Wapple,2,,,,6,
1287,LMNWA-02-12,2021-06-24 05:24:00,523966,,UPDATE,25:52.7,Abundance Changed to:10,,CAGU,CAGU,,Robert Wapple,1,,,,6,
1287,SDNWA-02-01,2022-05-28 04:22:00,526172,,UPDATE,33:50.0,Abundance Changed to:10,,CANG,CANG,,Robert Wapple,3,,,,5,
1287,LMNWA-02-23,2022-06-04 04:17:00,537874,,UPDATE,39:37.5,Abundance Changed to:10,,YHBL,YHBL,,Robert Wapple,1,,,,6,
1287,LMNWA-02-23,2022-06-04 04:17:00,537874,,UPDATE,40:06.1,Abundance Changed to:10,,YHBL,YHBL,,Robert Wapple,2,,,,6,
1287,LMNWA-02-10,2022-05-27 06:04:00,537750,,UPDATE,29:18.6,Abundance Changed to:10,,FRGU,FRGU,,Robert Wapple,4,,,,1,
1287,STNWA-02-04,2022-05-25 04:31:00,538033,,UPDATE,46:59.6,Abundance Changed to:10,,CANG,CANG,,Robert Wapple,1,,,,2,
1287,LMNWA-01-05,2022-06-23 05:55:00,537503,,UPDATE,18:53.9,Abundance Changed to:10,,YHBL,YHBL,,Robert Wapple,5,,,,1,
1287,LMNWA-01-05,2022-06-23 05:55:00,537503,,UPDATE,21:42.6,Abundance Changed to:10,,YHBL,YHBL,,Robert Wapple,6,,,,3,
1287,STNWA-02-03,2022-05-27 04:25:00,538034,,UPDATE,00:55.0,Abundance Changed to:10,,CANG,CANG,,Robert Wapple,1,,,,4,
2913,SNAS-07-06,2024-05-29 04:50:00,1390029,,UPDATE,29:26.0,Abundance Changed to:10,,CCLO,CCLO,,Andy Nguyen,1,,,,3,
1287,SDNWA-02-04,2021-06-17 05:22:00,300165,,UPDATE,41:08.6,Abundance Changed to:2,,AMCR,AMCR,Robert Wapple,Robert Wapple,1,,,,,
1287,SDNWA-02-04,2021-06-17 05:22:00,300165,,UPDATE,03:37.5,Abundance Changed to:2,,BWTE,BWTE,Robert Wapple,Robert Wapple,1,,,,,
1287,SDNWA-02-02,2021-06-17 04:32:00,300153,,UPDATE,53:04.2,Abundance Changed to:2,,FRGU,FRGU,Meredith Stoesz,Meredith Stoesz,1,,,,,
1287,SDNWA-02-08,2021-06-16 04:32:00,300198,,UPDATE,12:14.3,Abundance Changed to:2,,UNBI,UNBI,Meredith Stoesz,Meredith Stoesz,1,,,,,
586,SKBMS:13-UEV01:38,2021-06-14 03:31:00,166399,,UPDATE,46:32.9,Abundance Changed to:2,,CONI,CONI,Steve Van Wilgenburg,Steve Van Wilgenburg,1,,,,,
586,AB-169275-16,2021-06-26 05:39:00,177495,,UPDATE,08:49.3,Abundance Changed to:2,,LEFL,LEFL,Steve Van Wilgenburg,Steve Van Wilgenburg,1,,,,,
1287,LMNWA-02-09,2021-06-24 05:44:00,300478,,UPDATE,31:13.9,Abundance Changed to:2,,WEME,WEME,Meredith Stoesz,Meredith Stoesz,2,,,,,
1287,LMNWA-02-09,2021-06-24 05:44:00,300478,,UPDATE,35:38.8,Abundance Changed to:2,,UNSH,UNSH,Meredith Stoesz,Meredith Stoesz,1,,,,,
2302,ASCR-03-01,2019-06-04 04:49:00,302398,,UPDATE,45:36.1,Abundance Changed to:2,,COYO,COYO,Laura Nicole Stewart,Laura Nicole Stewart,1,,,,,
286,SKBMS:13-UFU72:32,2020-06-05 04:29:00,129011,,UPDATE,59:10.1,Abundance Changed to:2,,PAWA,PAWA,Chris Chutter,Enid,1,,,,,
1287,LMNWA-01-02,2021-06-16 05:23:00,300373,,UPDATE,21:30.8,Abundance Changed to:2,,COWW,COWW,Laura Nicole Stewart,Laura Nicole Stewart,1,,,,,
1287,TWNWA-02-05,2021-06-21 05:16:00,300344,,UPDATE,53:35.5,Abundance Changed to:2,,CORA,CORA,Chris Chutter,Chris Chutter,1,,,,,
2302,ASMB-04-05,2018-06-20 08:13:00,302448,,UPDATE,37:08.0,Abundance Changed to:2,,UNBI,UNBI,Meredith Stoesz,Meredith Stoesz,1,,,,,
587,13-UDU49-32,2021-06-19 06:05:00,167057,,UPDATE,17:25.1,Abundance Changed to:2,,WWCR,WWCR,Enid,Enid,1,,,,,
2302,CAV-05,2022-06-01 06:00:00,338092,,UPDATE,41:02.4,Abundance Changed to:2,,SAVS,SAVS,Janine McManus,Carmen Avramovic,1,1,,,,
2302,CME-03,2022-06-01 06:00:00,338084,,UPDATE,03:16.0,Abundance Changed to:2,,WEME,WEME,Cassandra Merkens,Cassandra Merkens,4,4,,,,
587,13-UCV90-32,2021-07-07 06:24:00,308870,,UPDATE,41:11.9,Abundance Changed to:2,,REVI,REVI,Chris Chutter,Chris Chutter,1,1,,,,
2302,ASMB-04-12,2018-06-20 05:15:00,302449,,UPDATE,30:25.9,Abundance Changed to:2,,CCLO,CCLO,Erica Alex,Erica Alex,4,4,,,,
2302,GK-03-016,2017-06-12 06:09:00,302380,,UPDATE,29:50.4,Abundance Changed to:2,,COWW,COWW,Hemmo Luimes,Hemmo Luimes,1,1,,,,
587,13-UEV30-34,2022-06-07 06:33:00,341805,,UPDATE,53:20.5,Abundance Changed to:2,,CANG,CANG,Thompson Hyggen,Thompson Hyggen,1,1,,,,
587,13-UEV30-60,2022-06-11 08:30:00,341848,,UPDATE,13:20.7,Abundance Changed to:2,,REVI,REVI,Thompson Hyggen,Thompson Hyggen,1,1,,,,
586,SKBMS:13-UDV65:90,2021-06-20 06:31:00,170917,,UPDATE,56:31.5,Abundance Changed to:2,,CORA,CORA,Robert Wapple,Chris Chutter,1,1,,,,
587,13-UEV30-54,2022-06-09 05:31:00,341878,,UPDATE,11:43.3,Abundance Changed to:2,,REVI,REVI,Thompson Hyggen,Thompson Hyggen,1,1,,,,
1100,SKBMS:13-VEE46:63,2022-06-17 05:23:00,342433,,UPDATE,14:42.1,Abundance Changed to:2,,GRYE,GRYE,,Eloise Sutton,1,,,,TMTT,
1100,SKBMS:12-UXH05:33,2022-06-20 03:57:00,344524,,UPDATE,17:12.5,Abundance Changed to:2,,WWCR,WWCR,,Eloise Sutton,1,,,,1,
1284,MB618-326-23,2022-05-26 06:21:00,474500,,UPDATE,28:00.4,Abundance Changed to:2,,SACR,SACR,,Eloise Sutton,1,,,,1,
1284,MB618-326-29,2022-06-14 07:08:00,474527,,UPDATE,35:09.9,Abundance Changed to:2,,SACR,SACR,,Eloise Sutton,2,,,,1,
1284,MB618-326-49,2022-06-06 08:17:00,474987,,UPDATE,17:40.0,Abundance Changed to:2,,CHSP,CHSP,,Eloise Sutton,2,,,,1,
1100,SKBMS:13-UCA40:47,2022-06-17 05:04:00,345850,,UPDATE,42:25.0,Abundance Changed to:2,,CANG,CANG,,Thea Carpenter,1,,,,1,
1284,MB617-325-34,2022-06-16 06:08:00,475010,,UPDATE,36:04.2,Abundance Changed to:2,,DEJU,DEJU,,Eloise Sutton,1,,,,1,
1284,MB619-325-32,2022-06-16 06:08:00,475022,,UPDATE,11:47.5,Abundance Changed to:2,,CHSP,CHSP,,Eloise Sutton,2,,,,1,
1100,SKBMS:13-VEE58:63,2022-06-17 06:54:00,342247,,UPDATE,55:57.3,Abundance Changed to:2,,WWCR,WWCR,,Thea Carpenter,2,,,,1,
2326,SBCR-12-05,2022-05-29 04:54:00,484535,,UPDATE,42:19.0,Abundance Changed to:2,,COYO,COYO,,Robert Wapple,1,,,,1,
1284,MB618-326-23,2022-05-26 06:21:00,474500,,UPDATE,26:12.8,Abundance Changed to:2,,YRWA,YRWA,,Eloise Sutton,1,,,,1,
1284,MB618-326-44,2022-06-07 07:10:00,474968,,UPDATE,58:32.0,Abundance Changed to:2,,BCCH,BCCH,,Eloise Sutton,4,,,,10,
1284,MB618-326-45,2022-06-06 08:11:00,474972,,UPDATE,21:43.1,Abundance Changed to:2,,CANG,CANG,,Eloise Sutton,1,,,,1,
2326,SBCR-12-05,2022-05-28 05:25:00,484630,,UPDATE,25:35.4,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,1,,,,1,
1284,MB618-326-45,2022-06-06 08:11:00,474972,,UPDATE,30:58.8,Abundance Changed to:2,,CANG,CANG,,Eloise Sutton,2,,,,1,
2326,SBCR-12-11,2022-05-28 05:25:00,484623,,UPDATE,22:04.8,Abundance Changed to:2,,WEME,WEME,,Robert Wapple,4,,,,1,
2326,SBCR-12-13,2022-05-28 05:25:00,484625,,UPDATE,37:23.4,Abundance Changed to:2,,MAGO,MAGO,,Robert Wapple,1,,,,1,
2326,SBCR-12-02,2022-06-01 06:22:00,484659,,UPDATE,23:05.7,Abundance Changed to:2,,HOLA,HOLA,,Robert Wapple,2,,,,1,
1284,MB619-325-32,2022-06-16 06:08:00,475022,,UPDATE,32:44.5,Abundance Changed to:2,,AMRO,AMRO,,Eloise Sutton,1,,,,1,
2326,SBCR-10-16,2022-07-02 05:21:00,484721,,UPDATE,24:05.3,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,1,,,,1,
2326,SBCR-10-09,2022-07-06 05:24:00,484733,,UPDATE,08:22.2,Abundance Changed to:2,,COWW,COWW,,Robert Wapple,1,,,,3,
2326,SBCR-15-12,2022-06-20 04:45:00,484808,,UPDATE,17:33.4,Abundance Changed to:2,,COWW,COWW,,Robert Wapple,1,,,,1,
2326,SBCR-15-02,2022-06-19 06:15:00,484782,,UPDATE,38:56.3,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,2,,,,1,
2326,SBCR-11-06,2022-06-10 05:16:00,484617,,UPDATE,20:12.1,Abundance Changed to:2,,HOLA,HOLA,,Robert Wapple,1,,,,1,
2326,SBCR-12-05,2022-05-28 05:25:00,484630,,UPDATE,51:00.8,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,7,,,,1,
2326,SBCR-12-10,2022-06-01 05:52:00,484637,,UPDATE,18:31.5,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,4,,,,1,
2326,SBCR-12-10,2022-06-01 05:52:00,484637,,UPDATE,18:32.8,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,4,,,,1,
2326,SBCR-12-07,2022-06-01 05:52:00,484648,,UPDATE,59:54.2,Abundance Changed to:2,,CCLO,CCLO,,Robert Wapple,1,,,,1,
2326,SBCR-12-16,2022-06-01 06:22:00,484660,,UPDATE,40:29.1,Abundance Changed to:2,,WILL,WILL,,Robert Wapple,1,,,,1,
2326,SBCR-07-11,2022-06-01 05:22:00,484692,,UPDATE,38:46.4,Abundance Changed to:2,,HOLA,HOLA,,Robert Wapple,6,,,,1,
2326,SBCR-07-12,2022-06-01 05:22:00,484693,,UPDATE,47:08.9,Abundance Changed to:2,,MAGO,MAGO,,Robert Wapple,1,,,,1,
1287,BRNWA-02-03,2022-05-31 05:12:00,526116,,UPDATE,27:57.3,Abundance Changed to:2,,UNDU,UNDU,,Robert Wapple,1,,,,1,
1287,HSNWA-00-06,2022-06-27 06:04:00,526135,,UPDATE,36:12.0,Abundance Changed to:2,,LEFL,LEFL,,Robert Wapple,1,,,,1,
1287,HSNWA-00-06,2022-06-27 06:04:00,526135,,UPDATE,44:34.9,Abundance Changed to:2,,TRES,TRES,,Robert Wapple,2,,,,1,
2326,SBCR-07-10,2022-05-28 05:25:00,484548,,UPDATE,25:52.1,Abundance Changed to:2,,HOLA,HOLA,,Sean Jenniskens,1,,,,4,
