ID1,Mean % Agreement,Tags,species_common_name
RWBL,75,14,Red-winged Blackbird
SACR,96.43,14,Sandhill Crane
SAPH,100,2,Say's Phoebe
SAVS,96.43,14,Savannah Sparrow
SCTA,0,1,Scarlet Tanager
SEPL,0,1,Semipalmated Plover
SEWR,82.14,14,Sedge Wren
SORA,92.86,14,Sora
SOSA,96.43,14,Solitary Sandpiper
SOSP,100,14,Song Sparrow
SPGR,46.43,14,Spruce Grouse
SPSA,62.5,16,Spotted Sandpiper
SPTO,50,1,Spotted Towhee
SSHA,50,4,Sharp-shinned Hawk
SWSP,92.86,14,Swamp Sparrow
SWTH,96.43,14,Swainson's Thrush
TEWA,100,14,Tennessee Warbler
TOSO,40,5,Townsend's Solitaire
TRES,82.14,14,Tree Swallow
TRUS,100,10,Trumpeter Swan
TUSW,0,1,Tundra Swan
VATH,100,4,Varied Thrush
VEER,90.91,22,Veery
VIRA,66.67,3,Virginia Rail
WAVI,96.43,14,Warbling Vireo
WBNU,35.71,7,White-breasted Nuthatch
WCSP,92.86,14,White-crowned Sparrow
WEGR,25,2,Western Grebe
WETA,96.43,14,Western Tanager
WEWP,92.86,14,Western Wood-Pewee
WISN,96.43,14,Wilson's Snipe
WIWA,57.14,14,Wilson's Warbler
WIWR,100,14,Winter Wren
WODU,75,2,Wood Duck
WOFR,75,10,Wood Frog
WTSP,100,14,White-throated Sparrow
WWCR,75,14,White-winged Crossbill
YBFL,85.71,14,Yellow-bellied Flycatcher
YBSA,71.43,14,Yellow-bellied Sapsucker
YERA,83.33,6,Yellow Rail
YEWA,80.77,13,Yellow Warbler
YHBL,92.86,14,Yellow-headed Blackbird
YRWA,90,15,Yellow-rumped Warbler
